,yyyymm,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,d/p,d/y,e/p,d/e,ret (S&P 500 annualized log return including dividends)
101,193505,0.729392625,0.0015,0.0365,0.0594,0.0276,0.01929934,0.000125,0,-0.0057,0.0042,0.002877662,-3.07311169,-3.041295645,-2.503874978,-0.569236712,0.033059
102,193506,0.681818182,0.0015,0.0361,0.0577,0.027,0.019345475,0.000125,-0.007246377,0.0092,0.0112,0.002810458,-3.146305132,-3.080658144,-2.536045611,-0.610259521,0.067124
103,193507,0.639309197,0.0015,0.0356,0.0567,0.0268,0.017409217,0.000125,0,0.0046,0.0111,0.001680048,-3.226122233,-3.146305132,-2.636653902,-0.589468331,0.082471
104,193508,0.63368669,0.0016,0.036,0.0558,0.0281,0.004980357,0.000133333,0,-0.0133,-0.0042,0.003774986,-3.247551625,-3.226122233,-2.679314665,-0.56823696,0.022105
105,193509,0.611734384,0.002,0.0359,0.0553,0.0282,0.008025742,0.000166667,0,0.0009,0,0.002428824,-3.271123209,-3.247551625,-2.724579503,-0.546543706,0.022175
106,193510,0.577501073,0.002,0.0352,0.0554,0.0279,0.002950132,0.000166667,0,0.0061,0.0042,0.003259193,-3.32103121,-3.248650354,-2.796960359,-0.524070851,0.070634
107,193511,0.566952368,0.0016,0.0347,0.0543,0.028,0.002218773,0.000133333,0.00729927,0.001,0.0069,0.003149683,-3.337624578,-3.299052303,-2.835532634,-0.502091944,0.04562
108,193512,0.559911191,0.0015,0.0344,0.053,0.0276,0.008687875,0.000125,0,0.007,0.0083,0.002897366,-3.352513595,-3.316118372,-2.871927856,-0.480585739,0.036744
109,193601,0.53983544,0.002,0.0337,0.05,0.0285,0.008907433,0.000166667,0,0.0055,0.0082,0.001867159,-3.394927769,-3.331460186,-2.922323358,-0.472604411,0.070187
110,193602,0.529076247,0.002,0.0332,0.048,0.0281,0.013759459,0.000166667,0,0.0081,0.0054,0.002222594,-3.390940881,-3.374308481,-2.926052353,-0.464888529,0.018857
111,193603,0.527696047,0.002,0.0329,0.0486,0.0275,0.013454844,0.000166667,-0.007246377,0.0106,0.0082,0.00500448,-3.395849775,-3.370738174,-2.938424928,-0.457424847,0.021457
112,193604,0.566348596,0.002,0.0329,0.0491,0.0274,0.019251148,0.000166667,0,0.0035,0.0026,0.005760772,-3.282849025,-3.363059307,-2.820943251,-0.461905774,-0.078356
113,193605,0.540487421,0.002,0.0327,0.0494,0.0273,0.018626596,0.000166667,0,0.004,0.004,0.002907938,-3.295837491,-3.251101597,-2.829747136,-0.466090355,0.046971
114,193606,0.523178388,0.002,0.0324,0.049,0.0273,0.02081269,0.000166667,0.00729927,0.0021,0.0082,0.001568495,-3.295163238,-3.265065207,-2.825159609,-0.470003629,0.029509
115,193607,0.500424603,0.0015,0.0323,0.0484,0.0271,0.021746409,0.000125,0.007246377,0.006,0.0011,0.001568553,-3.325288418,-3.259445156,-2.868530016,-0.456758402,0.072356
116,193608,0.496121234,0.002,0.0321,0.0474,0.0264,0.019665777,0.000166667,0.007194245,0.0111,0.0067,0.002619507,-3.299596269,-3.290802242,-2.855345136,-0.444251133,0.00893
117,193609,0.491598141,0.0016,0.0318,0.0462,0.0268,0.021397625,0.000133333,0,-0.0031,0.0067,0.001183759,-3.267509849,-3.266259849,-2.835088931,-0.432420918,0.001617
118,193610,0.465707028,0.0013,0.0318,0.0454,0.0269,0.021803615,0.000108333,0,0.0006,0.0025,0.002224405,-3.28141441,-3.209137327,-2.879391817,-0.402022593,0.075272
119,193611,0.450278354,0.0011,0.0315,0.0452,0.0257,0.022840632,9.17E-05,0,0.0205,0.0109,0.0028304,-3.230322747,-3.226263594,-2.856239087,-0.37408366,-0.000321
120,193612,0.458588105,0.0012,0.031,0.0453,0.0255,0.025225208,1.00E-04,0,0.0038,0.001,0.001498375,-3.172249984,-3.17805383,-2.823943289,-0.348306694,-0.007289
121,193701,0.446573563,0.0017,0.031,0.0449,0.0258,0.025003316,0.000141667,0.007142857,-0.0013,0.0024,0.001572549,-3.195593177,-3.158456661,-2.832092268,-0.363500909,0.035916
122,193702,0.440775765,0.0015,0.0322,0.0453,0.0253,0.025207892,0.000125,0,0.0086,-0.0046,0.001306789,-3.196464392,-3.181987525,-2.818398258,-0.378066134,0.01535
123,193703,0.458666381,0.0038,0.0332,0.0468,0.0285,0.033507789,0.000316667,0.007092199,-0.0411,-0.0114,0.00311448,-3.17359948,-3.183041372,-2.781557392,-0.392042088,-0.006242
124,193704,0.490618007,0.0056,0.0342,0.0484,0.0284,0.028108135,0.000466667,0.007042254,0.0039,0.0068,0.005466779,-3.047570291,-3.134378767,-2.676891299,-0.370678992,-0.08149
125,193705,0.489382405,0.0041,0.0333,0.0484,0.0282,0.028278205,0.000341667,0.006993007,0.0053,0.004,0.003593072,-2.999429135,-3.009829963,-2.648946162,-0.350482974,-0.011686
126,193706,0.504961021,0.0036,0.0328,0.0493,0.0285,0.03126606,0.0003,0,-0.0018,0.0053,0.002984171,-2.908720897,-2.963061491,-2.577363761,-0.331357136,-0.057853
127,193707,0.46464866,0.0028,0.0325,0.0491,0.0277,0.027224456,0.000233333,0.006944444,0.0138,0.0039,0.002982217,-3.034560037,-2.936891365,-2.660885116,-0.373674921,0.098012
128,193708,0.481934502,0.0029,0.0324,0.0492,0.0286,0.031063805,0.000241667,0,-0.0104,-0.0017,0.002140794,-3.006597824,-3.063548402,-2.589992889,-0.416604935,-0.056291
129,193709,0.553147441,0.0031,0.0328,0.0516,0.0284,0.035846083,0.000258333,0.006896552,0.0045,0.0025,0.015821146,-2.883130597,-3.036450367,-2.422914974,-0.460215623,-0.143683
130,193710,0.617417678,0.002,0.0327,0.0552,0.0283,0.040956882,0.000166667,0,0.0042,0.0067,0.031722241,-2.762926811,-2.870227192,-2.340512145,-0.422414666,-0.103703
131,193711,0.692419825,0.0009,0.0324,0.0582,0.0278,0.042030881,7.50E-05,-0.006849315,0.0096,0.0067,0.021973392,-2.643567937,-2.750187786,-2.259425599,-0.384142339,-0.100254
132,193712,0.707488622,0.0011,0.0321,0.0573,0.0273,0.031774713,9.17E-05,-0.006896552,0.0082,0.0067,0.006954963,-2.579269411,-2.630989155,-2.233908227,-0.345361184,-0.053019
133,193801,0.701567244,0.001,0.0317,0.0589,0.0271,0.038801359,8.33E-05,-0.013888889,0.0057,0.0038,0.009751241,-2.600820946,-2.587638081,-2.295435781,-0.305385166,0.011096
134,193802,0.659518667,0.0008,0.032,0.0597,0.0268,0.032247787,6.67E-05,-0.007042254,0.0052,0.001,0.007772491,-2.668286544,-2.609258971,-2.405274283,-0.263012261,0.061131
135,193803,0.892369884,0.0008,0.0322,0.063,0.0273,0.033844571,6.67E-05,0,-0.0037,-0.0087,0.015067942,-2.388527523,-2.676797658,-2.170525371,-0.218002152,-0.257951
136,193804,0.79079348,0.0009,0.033,0.0647,0.0259,0.027161325,7.50E-05,0.007092199,0.021,0.0138,0.018892725,-2.537828616,-2.405768894,-2.373789908,-0.164038708,0.140966
137,193805,0.819565621,0.0005,0.0322,0.0606,0.0257,0.029978151,4.17E-05,-0.007042254,0.0044,0.001,0.007651434,-2.510031297,-2.555373803,-2.405112517,-0.104918781,-0.046036
138,193806,0.659545862,0.0005,0.0326,0.0625,0.0259,0.016745583,4.17E-05,0,0.0004,0.0095,0.011809309,-2.748655956,-2.527888472,-2.708915627,-0.039740329,0.249304
139,193807,0.625354108,0.0007,0.0322,0.0563,0.0257,0.017056872,5.83E-05,0,0.0043,0.0066,0.006829876,-2.8555034,-2.78535779,-2.84620054,-0.00930286,0.073872
140,193808,0.634020248,0.0006,0.0318,0.0549,0.0259,0.014309677,5.00E-05,0,0,-0.0019,0.005981568,-2.865800012,-2.893602293,-2.890371758,0.024571746,-0.029465
